timestamp,node,tx_count,gas_used,block_number,anomaly,trust_score
1764663181.5559158,0xc4c7b6fA8a29f83FBd477b098153Cdf98b6c0a24,8,21000,8,-1,20
1764663181.5631738,0xf4dc21B690023E1ffA7E793C20634e6e0be4a9E5,0,21000,8,1,100
1764663181.5726862,0x8503E213c52bfD9f07c1D0981f2E41FfAFF8E75A,0,21000,8,1,100
1764663181.5793269,0x90c9EbDB9d395f77ECebD917ef51a65aE488fD22,0,21000,8,1,100
1764663181.5868213,0xCF0A16691B22b518c164D6A47A3185AD5A03aECf,0,21000,8,1,100
1764663181.5926309,0x721B77dFc20E45334884335F868656e315b076C6,0,21000,8,1,100
1764663181.60095,0x3c0Db595aaA4BD50d97B5a0E0870FA6A42dcB312,0,21000,8,1,100
1764663181.606653,0xCB8b13297fF527B17E5f837c4593601539691141,0,21000,8,1,100
1764663181.6151114,0x7f319cF9b3BfDF05C4DafD1B5173bc70140278b5,0,21000,8,1,100
1764663181.6223905,0xa9ea9a95F49aD35fC906da8ee98b4C8Ed6E44801,0,21000,8,1,100
1764663183.6320364,0xc4c7b6fA8a29f83FBd477b098153Cdf98b6c0a24,8,21000,8,-1,20
1764663183.641615,0xf4dc21B690023E1ffA7E793C20634e6e0be4a9E5,0,21000,8,1,100
1764663183.6506782,0x8503E213c52bfD9f07c1D0981f2E41FfAFF8E75A,0,21000,8,1,100
1764663183.6582222,0x90c9EbDB9d395f77ECebD917ef51a65aE488fD22,0,21000,8,1,100
1764663183.6682909,0xCF0A16691B22b518c164D6A47A3185AD5A03aECf,0,21000,8,1,100
1764663183.676092,0x721B77dFc20E45334884335F868656e315b076C6,0,21000,8,1,100
1764663183.6818082,0x3c0Db595aaA4BD50d97B5a0E0870FA6A42dcB312,0,21000,8,1,100
1764663183.68858,0xCB8b13297fF527B17E5f837c4593601539691141,0,21000,8,1,100
1764663183.697842,0x7f319cF9b3BfDF05C4DafD1B5173bc70140278b5,0,21000,8,1,100
1764663183.7036474,0xa9ea9a95F49aD35fC906da8ee98b4C8Ed6E44801,0,21000,8,1,100
1764663185.71341,0xc4c7b6fA8a29f83FBd477b098153Cdf98b6c0a24,8,21000,8,-1,20
1764663185.7234628,0xf4dc21B690023E1ffA7E793C20634e6e0be4a9E5,0,21000,8,1,100
1764663185.7290895,0x8503E213c52bfD9f07c1D0981f2E41FfAFF8E75A,0,21000,8,1,100
1764663185.7290895,0x90c9EbDB9d395f77ECebD917ef51a65aE488fD22,0,21000,8,1,100
1764663185.7448814,0xCF0A16691B22b518c164D6A47A3185AD5A03aECf,0,21000,8,1,100
1764663185.7517166,0x721B77dFc20E45334884335F868656e315b076C6,0,21000,8,1,100
1764663185.7585845,0x3c0Db595aaA4BD50d97B5a0E0870FA6A42dcB312,0,21000,8,1,100
1764663185.7614625,0xCB8b13297fF527B17E5f837c4593601539691141,0,21000,8,1,100
1764663185.773238,0x7f319cF9b3BfDF05C4DafD1B5173bc70140278b5,0,21000,8,1,100
1764663185.7783608,0xa9ea9a95F49aD35fC906da8ee98b4C8Ed6E44801,0,21000,8,1,100
1764663187.790619,0xc4c7b6fA8a29f83FBd477b098153Cdf98b6c0a24,8,21000,8,-1,20
1764663187.7977216,0xf4dc21B690023E1ffA7E793C20634e6e0be4a9E5,0,21000,8,1,100
1764663187.8084166,0x8503E213c52bfD9f07c1D0981f2E41FfAFF8E75A,0,21000,8,1,100
1764663187.8144605,0x90c9EbDB9d395f77ECebD917ef51a65aE488fD22,0,21000,8,1,100
1764663187.8234658,0xCF0A16691B22b518c164D6A47A3185AD5A03aECf,0,21000,8,1,100
1764663187.831244,0x721B77dFc20E45334884335F868656e315b076C6,0,21000,8,1,100
1764663187.8392956,0x3c0Db595aaA4BD50d97B5a0E0870FA6A42dcB312,0,21000,8,1,100
1764663187.8503852,0xCB8b13297fF527B17E5f837c4593601539691141,0,21000,8,1,100
1764663187.8593109,0x7f319cF9b3BfDF05C4DafD1B5173bc70140278b5,0,21000,8,1,100
1764663187.8653588,0xa9ea9a95F49aD35fC906da8ee98b4C8Ed6E44801,0,21000,8,1,100
1764663189.879362,0xc4c7b6fA8a29f83FBd477b098153Cdf98b6c0a24,8,21000,8,-1,20
1764663189.887567,0xf4dc21B690023E1ffA7E793C20634e6e0be4a9E5,0,21000,8,1,100
1764663189.8972323,0x8503E213c52bfD9f07c1D0981f2E41FfAFF8E75A,0,21000,8,1,100
1764663189.9052882,0x90c9EbDB9d395f77ECebD917ef51a65aE488fD22,0,21000,8,1,100
1764663189.915266,0xCF0A16691B22b518c164D6A47A3185AD5A03aECf,0,21000,8,1,100
1764663189.923333,0x721B77dFc20E45334884335F868656e315b076C6,0,21000,8,1,100
1764663189.9315014,0x3c0Db595aaA4BD50d97B5a0E0870FA6A42dcB312,0,21000,8,1,100
1764663189.938853,0xCB8b13297fF527B17E5f837c4593601539691141,0,21000,8,1,100
1764663189.9430778,0x7f319cF9b3BfDF05C4DafD1B5173bc70140278b5,0,21000,8,1,100
1764663189.953409,0xa9ea9a95F49aD35fC906da8ee98b4C8Ed6E44801,0,21000,8,1,100
1764663191.9628382,0xc4c7b6fA8a29f83FBd477b098153Cdf98b6c0a24,8,21000,8,-1,20
1764663191.970894,0xf4dc21B690023E1ffA7E793C20634e6e0be4a9E5,0,21000,8,1,100
1764663191.9807105,0x8503E213c52bfD9f07c1D0981f2E41FfAFF8E75A,0,21000,8,1,100
1764663191.9859183,0x90c9EbDB9d395f77ECebD917ef51a65aE488fD22,0,21000,8,1,100
